ce_strength,ce_iv,ce_chg,ce_vol,pe_vol,ce_ltp,pe_strength,symbol,ce_oi,pe_iv,strike,pe_oi,pe_ltp,pe_chg
25830,11.24,-272,21020,1011136,312.75,1090748,NIFTY,5082,8.84,25950,75467,14.25,4145
355909,10.73,-5899,314118,2613352,268.8,2861919,NIFTY,47690,8.51,26000,226712,19.25,21855
144539,10.1,-1625,136092,1363285,225.25,1432878,NIFTY,10072,8.16,26050,66922,25.75,2671
973989,9.65,-7489,938195,3055902,185.25,3238747,NIFTY,43283,7.83,26100,147158,34.8,35687
1189065,9.25,1031,1163453,2805883,148.25,2904683,NIFTY,24581,7.52,26150,77195,47.1,21605
5012670,8.79,14084,4889946,6933627,113.85,7125967,NIFTY,108640,7.27,26200,145987,63.85,46353
5240010,8.5,24408,5123719,4675231,85.1,4745259,NIFTY,91883,6.92,26250,52437,84.2,17591
5967917,8.27,38763,5766167,3572305,61.3,3623779,NIFTY,162987,6.57,26300,48108,110.0,3366
2615938,8.11,20013,2523323,832120,42.6,843347,NIFTY,72602,6.18,26350,10401,141.25,826
3235588,7.97,53042,3032139,871132,28.35,883332,NIFTY,150407,5.56,26400,13613,177.0,-1413
1876601,7.97,11528,1802103,170841,18.8,173328,NIFTY,62970,4.8,26450,2941,219.0,-454
3143,8.88,-60,1667,12601,1207.0,17256,BANKNIFTY,1536,11.57,59300,5264,422.5,-609
6172,8.89,-1,3320,16714,1137.0,22550,BANKNIFTY,2853,11.54,59400,5790,453.65,46
48606,8.96,19,34982,75745,1073.0,99403,BANKNIFTY,13605,11.55,59500,22014,489.4,1644
27737,9.08,200,25008,46972,1014.4,52081,BANKNIFTY,2529,11.49,59600,5043,522.7,66
75099,9.01,1613,67833,85468,946.0,91750,BANKNIFTY,5653,11.45,59700,6551,558.3,-269
72883,9.04,902,65686,80165,886.95,88507,BANKNIFTY,6295,11.47,59800,6986,600.05,1356
37461,9.08,295,32547,34884,831.0,37819,BANKNIFTY,4619,11.49,59900,2615,644.15,320
139013,9.08,3196,104823,79747,774.2,101468,BANKNIFTY,30994,11.46,60000,20242,686.0,1479
29816,9.04,671,25302,16110,717.6,20313,BANKNIFTY,3843,11.48,60100,3074,733.6,1129
21102,9.11,205,18737,7337,671.0,8865,BANKNIFTY,2160,11.44,60200,1143,779.1,385
16206,9.16,134,14224,2971,624.8,3810,BANKNIFTY,1848,11.46,60300,664,830.95,175
1182,12.63,-103,492,2576,66.35,4037,RELIANCE,793,16.44,1520,1547,8.5,-86
1001,12.74,-85,345,2160,58.2,3195,RELIANCE,741,16.28,1530,1165,10.55,-130
3116,12.98,-155,1311,3193,50.75,5895,RELIANCE,1960,16.13,1540,2635,13.0,67
6667,13.06,-178,2603,5205,43.65,9367,RELIANCE,4242,16.03,1550,4274,15.95,-112
10457,13.34,-442,5501,6887,37.5,10465,RELIANCE,5398,16.0,1560,3455,19.5,123
11216,13.32,13,8782,7096,31.45,9391,RELIANCE,2421,15.94,1570,2065,23.5,230
21737,13.49,2286,14604,6445,26.4,8177,RELIANCE,4847,15.97,1580,1394,28.2,338
6255,13.51,225,4930,1743,21.7,2258,RELIANCE,1100,16.1,1590,421,33.6,94
29841,13.5,1816,18042,2788,17.55,5549,RELIANCE,9983,16.03,1600,2614,39.15,147
3558,13.55,78,2755,534,14.1,733,RELIANCE,725,16.21,1610,164,45.65,35
6234,13.73,249,3828,228,11.4,455,RELIANCE,2157,16.68,1620,202,53.1,25
161,14.49,-12,27,626,135.0,1578,TCS,146,17.51,3040,867,20.25,85
231,14.89,-1,91,491,120.3,1370,TCS,141,17.58,3060,896,25.4,-17
205,15.34,7,50,568,106.9,1157,TCS,148,17.37,3080,589,30.5,0
4070,15.27,94,1680,2937,93.0,6378,TCS,2296,17.43,3100,3311,37.3,130
1935,15.45,-16,1245,1221,81.0,2611,TCS,706,17.43,3120,1260,44.85,130
5418,15.33,281,3303,1688,69.0,3782,TCS,1834,17.48,3140,1857,53.5,237
6030,15.46,100,3186,1397,59.0,3477,TCS,2744,17.55,3160,1878,63.25,202
3259,15.54,103,1568,426,49.9,1394,TCS,1588,17.67,3180,897,74.1,71
15385,15.58,240,7009,1548,41.75,5680,TCS,8136,17.55,3200,3980,85.05,152
1765,15.75,85,692,271,35.05,617,TCS,988,17.58,3220,319,97.45,27
1732,15.82,28,816,8,28.95,323,TCS,888,16.57,3240,317,107.25,-2
382,13.32,11,26,1028,111.55,2786,INFY,345,21.91,1460,1564,6.2,194
517,11.96,-9,37,1069,92.0,2811,INFY,489,21.65,1480,1556,9.05,186
3845,15.21,-271,1601,2492,76.5,6661,INFY,2515,21.72,1500,4108,13.35,61
1428,16.42,-35,377,1412,62.2,3163,INFY,1086,21.63,1520,1777,18.7,-26
4062,16.9,-112,2010,2282,49.1,4788,INFY,2164,21.7,1540,2508,25.75,-2
8138,17.34,273,4551,3307,38.0,5764,INFY,3314,21.98,1560,2209,34.7,248
5516,17.91,106,2931,1161,29.15,2185,INFY,2479,22.34,1580,944,45.4,80
11381,18.23,291,4665,798,21.7,2287,INFY,6425,22.94,1600,1428,58.0,61
3208,18.37,99,1663,98,15.6,269,INFY,1446,23.29,1620,165,71.5,6
3412,18.54,167,1438,19,11.0,274,INFY,1807,24.55,1640,258,87.6,-3
2940,18.84,92,1316,77,7.75,188,INFY,1532,25.11,1660,162,103.45,-51
1222,13.65,81,472,1147,39.4,2664,HDFCBANK,669,15.23,980,1529,5.45,-12
332,13.08,2,91,219,35.0,902,HDFCBANK,239,15.25,985,644,6.65,39
984,13.14,-36,308,1526,31.3,2898,HDFCBANK,712,14.94,990,1312,7.7,60
572,13.43,-56,275,1211,28.05,2151,HDFCBANK,353,14.71,995,958,9.0,-18
10821,13.57,149,4852,6600,24.9,10947,HDFCBANK,5820,14.69,1000,4729,10.7,-382
3956,13.41,29,2508,2700,21.65,3916,HDFCBANK,1419,14.74,1005,1246,12.7,-30
11667,13.36,236,8153,6136,18.75,8191,HDFCBANK,3278,14.43,1010,2112,14.5,-57
5281,13.31,169,3565,1593,16.1,2219,HDFCBANK,1547,14.66,1015,638,17.15,-12
12001,13.43,198,6036,2222,13.9,3602,HDFCBANK,5767,14.53,1020,1410,19.6,-30
2007,13.39,-33,1455,384,11.75,759,HDFCBANK,585,14.89,1025,319,22.85,56
4301,13.36,110,2430,366,9.85,752,HDFCBANK,1761,14.55,1030,389,25.5,-3
455,10.72,-165,348,460,61.7,1068,ICICIBANK,272,15.69,1340,633,5.75,-25
800,10.88,-28,343,2117,52.95,4344,ICICIBANK,485,15.25,1350,2072,7.2,155
3833,11.84,310,759,1244,45.65,3388,ICICIBANK,2764,15.08,1360,2130,9.35,14
3016,11.85,37,557,1823,38.1,3707,ICICIBANK,2422,15.03,1370,1988,12.15,-104
5798,11.94,10,2781,2752,31.35,5567,ICICIBANK,3007,14.74,1380,2875,15.15,-60
6614,12.18,383,4288,3747,25.6,5267,ICICIBANK,1943,14.72,1390,1571,19.15,-51
24694,12.25,2265,13233,4490,20.4,9787,ICICIBANK,9196,14.83,1400,4702,24.0,595
3570,12.19,-28,2627,772,15.75,1468,ICICIBANK,971,15.06,1410,708,29.7,-12
5321,12.24,52,3354,368,12.05,1008,ICICIBANK,1915,15.03,1420,639,35.6,1
2700,12.37,-57,1992,151,9.15,436,ICICIBANK,765,15.25,1430,297,42.45,-12
3592,12.46,379,2021,14,6.8,133,ICICIBANK,1192,15.71,1440,120,50.15,-1
34,0.0,0,0,668,115.6,1486,KOTAKBANK,34,17.25,2020,663,6.35,155
330,12.89,14,134,1951,106.5,2520,KOTAKBANK,182,16.75,2040,689,8.55,-120
373,14.03,-2,103,1294,90.85,1784,KOTAKBANK,272,16.45,2060,519,11.8,-29
1023,13.97,-92,541,2130,75.0,3316,KOTAKBANK,574,16.14,2080,1519,16.0,-333
6400,14.13,-742,4942,3847,61.0,6596,KOTAKBANK,2200,16.13,2100,2739,22.05,10
5257,14.1,-73,4107,2984,48.25,4072,KOTAKBANK,1223,15.94,2120,987,29.1,101
6661,14.39,-15,5382,2310,38.0,3124,KOTAKBANK,1294,16.09,2140,771,38.5,43
3854,14.29,151,2737,844,28.55,1496,KOTAKBANK,966,16.14,2160,518,49.2,134
2270,14.62,100,1669,166,21.8,273,KOTAKBANK,501,17.07,2180,75,63.5,32
9384,14.77,-541,5875,243,16.1,860,KOTAKBANK,4050,17.15,2200,591,77.0,26
1821,15.01,0,1303,11,11.85,85,KOTAKBANK,518,17.82,2220,69,92.9,5
413,11.9,-4,59,1093,119.0,3191,BHARTIARTL,358,16.91,2000,1999,6.35,99
28,0.0,0,0,670,118.7,1286,BHARTIARTL,28,16.76,2020,515,9.15,101
136,14.93,9,35,1238,87.75,2159,BHARTIARTL,92,16.67,2040,803,13.0,118
229,15.03,2,84,1545,72.8,2604,BHARTIARTL,143,16.44,2060,955,17.7,104
605,14.98,33,223,1189,59.0,2018,BHARTIARTL,349,16.3,2080,764,23.85,65
4914,14.82,552,2605,4509,46.5,6398,BHARTIARTL,1757,16.28,2100,2335,31.7,-446
6767,15.05,715,4060,2045,36.6,3907,BHARTIARTL,1992,16.54,2120,1431,41.8,431
7270,15.12,430,4077,1004,28.0,2361,BHARTIARTL,2763,16.55,2140,1195,52.8,162
5368,15.21,305,2440,257,21.0,990,BHARTIARTL,2623,16.47,2160,711,65.05,22
3814,15.37,257,1989,74,15.6,307,BHARTIARTL,1568,17.35,2180,210,80.75,23
8929,15.48,533,3896,391,11.3,1047,BHARTIARTL,4500,17.79,2200,534,96.45,122
26,0.0,0,0,41,14.7,158,ITC,26,13.42,392,116,1.4,1
63,7.83,2,21,242,13.1,1001,ITC,40,13.33,395,727,1.85,32
79,9.12,-6,23,197,11.25,468,ITC,62,13.23,397,223,2.4,48
3230,9.17,10,1260,1618,9.3,4836,ITC,1960,13.19,400,2599,3.1,619
980,9.61,29,514,725,7.7,1552,ITC,437,13.06,402,731,3.9,96
4205,9.87,77,1889,1251,6.25,2910,ITC,2239,13.49,405,1679,5.1,-20
1091,10.1,4,500,289,5.0,872,ITC,587,13.57,407,580,6.3,3
8362,10.31,255,2688,348,3.95,2463,ITC,5419,13.86,410,2162,7.75,-47
561,10.67,34,226,28,3.15,124,ITC,301,13.74,412,96,9.15,0
3025,10.77,92,1003,6,2.4,470,ITC,1930,14.19,415,466,10.95,-2
331,11.14,29,117,2,1.9,36,ITC,185,15.46,417,34,13.2,0
2020,15.74,-62,1275,1450,40.25,3892,SBIN,807,16.14,950,2361,5.95,81
218,16.23,-5,32,451,36.95,817,SBIN,191,15.67,955,416,6.75,-50
956,14.78,-162,627,1923,32.0,3774,SBIN,491,16.04,960,1915,8.5,-64
367,15.64,-8,237,1040,29.45,1597,SBIN,138,15.95,965,559,10.0,-2
3802,14.78,-325,2862,3640,25.35,6253,SBIN,1265,15.82,970,2124,11.65,489
3468,14.56,-76,2990,2694,22.1,3633,SBIN,554,15.96,975,756,13.8,183
15905,14.72,-142,11389,5981,19.5,11064,SBIN,4658,15.78,980,4536,15.8,547
5012,14.94,-58,3784,1582,17.2,2909,SBIN,1286,15.8,985,1163,18.25,164
8990,14.95,19,5360,1328,14.9,3298,SBIN,3611,15.73,990,1891,20.8,79
2308,15.13,-39,1367,374,13.0,1036,SBIN,980,15.42,995,603,23.3,59
18236,14.93,229,9242,830,10.9,2918,SBIN,8765,16.45,1000,2003,27.5,85
114,12.86,1,30,209,150.6,433,LT,83,16.38,3980,218,28.15,6
2150,13.0,55,670,2233,135.5,4281,LT,1425,16.4,4000,2047,33.55,1
337,13.32,5,50,991,122.0,1189,LT,282,16.31,4020,359,39.2,-161
792,13.33,25,256,895,108.25,1241,LT,511,16.27,4040,411,45.8,-65
1533,13.36,115,914,1177,95.45,1862,LT,504,16.43,4060,636,54.0,49
1821,13.63,143,1232,943,84.75,1561,LT,446,16.41,4080,549,62.2,69
6702,13.61,232,4344,1971,73.65,3494,LT,2126,16.53,4100,1522,71.85,1
2462,13.58,121,1233,670,63.5,931,LT,1108,16.49,4120,238,81.55,23
2416,13.71,-54,1367,549,55.0,716,LT,1103,16.89,4140,176,94.1,-9
1080,13.65,15,662,128,46.55,313,LT,403,16.59,4160,233,104.1,-48
849,13.89,70,500,25,40.4,65,LT,279,18.25,4180,41,124.0,-1
188,11.59,0,7,390,64.85,973,AXISBANK,181,18.46,1230,452,6.5,131
281,12.05,2,18,448,56.15,1009,AXISBANK,261,18.21,1240,532,8.25,29
387,13.32,27,61,620,48.9,1362,AXISBANK,299,18.39,1250,735,10.9,7
437,14.47,24,157,798,42.6,1533,AXISBANK,256,18.17,1260,736,13.55,-1
682,14.68,0,401,848,36.0,1985,AXISBANK,281,18.19,1270,1117,17.0,20
3395,14.64,174,2116,2228,29.75,3532,AXISBANK,1105,18.1,1280,1307,20.85,-3
3045,15.01,72,2051,1168,24.8,1721,AXISBANK,922,18.37,1290,627,25.8,-74
7222,15.02,275,3613,909,20.0,1989,AXISBANK,3334,18.26,1300,1032,30.75,48
1258,15.28,31,638,150,16.25,251,AXISBANK,589,18.34,1310,98,36.55,3
1886,15.39,62,798,37,12.9,133,AXISBANK,1026,18.9,1320,94,43.55,2
841,15.52,-9,435,18,10.15,101,AXISBANK,415,20.51,1330,80,52.45,3
70,14.1,1,5,413,682.8,835,MARUTI,64,17.1,15400,377,96.1,45
564,14.98,66,156,4264,615.0,7273,MARUTI,342,16.89,15500,2287,117.0,722
32,15.69,1,2,843,552.0,1109,MARUTI,29,16.8,15600,249,143.25,17
160,15.47,11,55,954,480.0,1285,MARUTI,94,16.66,15700,336,172.95,-5
837,15.86,60,507,2114,423.4,2969,MARUTI,270,16.66,15800,717,209.7,138
3330,15.79,116,2722,3313,364.0,4005,MARUTI,492,16.66,15900,577,251.15,115
9392,15.68,422,6716,3959,309.0,5587,MARUTI,2254,16.65,16000,1472,297.55,156
3338,15.91,84,2512,1079,265.8,1738,MARUTI,742,16.7,16100,617,350.15,42
4541,15.95,143,2472,496,224.1,869,MARUTI,1926,16.95,16200,406,411.15,-33
2479,15.87,17,1621,32,185.25,226,MARUTI,841,16.54,16300,189,465.0,5
1545,16.07,98,1064,1,156.15,45,MARUTI,383,16.29,16400,45,526.7,-1
39,0.0,-1,6,1558,109.7,3141,HINDUNILVR,34,11.34,2360,1334,1.9,249
64,0.0,-3,8,1940,96.9,3178,HINDUNILVR,59,10.73,2380,984,2.7,254
2524,0.0,-278,1722,4739,79.1,8453,HINDUNILVR,1080,10.22,2400,3234,4.0,480
1428,0.0,-190,903,2566,61.4,3876,HINDUNILVR,715,9.82,2420,1348,6.15,-38
5067,0.0,-772,3688,3377,45.95,6445,HINDUNILVR,2151,9.62,2440,2898,9.8,170
10563,4.21,-457,8500,3996,32.2,6880,HINDUNILVR,2520,9.91,2460,2222,16.35,662
11564,5.79,1354,7921,1407,22.1,2513,HINDUNILVR,2289,10.51,2480,715,26.0,391
19547,6.72,115,13289,1175,14.95,2390,HINDUNILVR,6143,11.28,2500,1250,38.3,-35
6294,7.41,-469,4922,279,9.95,510,HINDUNILVR,1841,12.63,2520,200,53.95,31
4779,8.09,338,3122,49,6.75,178,HINDUNILVR,1319,14.48,2540,115,72.1,14
5159,8.64,192,3515,100,4.5,162,HINDUNILVR,1452,16.34,2560,91,90.9,-29
274,16.96,-15,49,363,60.0,865,BAJFINANCE,240,21.66,990,500,6.8,2
2218,17.36,-113,774,1655,52.0,4204,BAJFINANCE,1557,21.43,1000,2726,8.8,-177
740,17.76,-25,188,798,44.65,1579,BAJFINANCE,577,21.27,1010,758,11.3,23
2173,18.07,-4,988,1134,37.9,2285,BAJFINANCE,1189,21.28,1020,1064,14.5,87
3226,18.24,-37,1860,1581,31.7,2563,BAJFINANCE,1403,21.27,1030,948,18.25,34
4418,18.36,82,3117,1531,26.15,2671,BAJFINANCE,1219,21.23,1040,1019,22.55,121
6335,18.52,172,4004,706,21.35,1939,BAJFINANCE,2159,21.31,1050,1232,27.6,1
2961,18.78,129,1793,274,17.35,551,BAJFINANCE,1039,21.81,1060,259,33.75,18
2114,18.84,71,1234,259,13.75,1050,BAJFINANCE,809,22.19,1070,652,40.3,139
2045,19.04,-9,1084,0,10.9,138,BAJFINANCE,970,0.0,1080,138,46.4,0
1121,19.18,36,568,7,8.5,56,BAJFINANCE,517,25.83,1090,49,57.9,0
462,24.46,14,285,1342,106.9,2076,ADANIENT,163,28.18,2229,690,44.3,44
751,24.08,79,585,2262,99.45,2678,ADANIENT,87,27.89,2240,245,47.4,171
501,24.42,-21,478,0,94.6,0,ADANIENT,44,0.0,2249,0,0.0,0
4659,25.39,-66,4357,3092,90.7,3826,ADANIENT,368,28.6,2260,505,57.3,229
873,24.51,-3,802,0,83.5,0,ADANIENT,74,0.0,2268,0,0.0,0
4535,24.75,-37,4194,2372,77.9,3040,ADANIENT,378,28.24,2280,397,65.3,271
1484,25.08,31,1315,0,74.6,0,ADANIENT,138,0.0,2288,0,0.0,0
34509,24.78,3379,25272,8071,67.8,11922,ADANIENT,5858,28.73,2300,2773,76.35,1078
3502,25.05,106,2984,1009,65.0,1360,ADANIENT,412,28.05,2307,217,78.3,134
7808,24.86,346,6589,1831,58.75,2500,ADANIENT,873,28.05,2320,426,85.1,243
2961,25.01,65,2278,614,56.25,1625,ADANIENT,618,28.11,2326,939,89.0,72
0,0.0,0,0,0,0.0,0,ULTRACEMCO,0,0.0,11100,0,0.0,0
33,15.2,4,8,520,529.85,1240,ULTRACEMCO,21,15.02,11200,517,45.6,203
24,14.96,2,12,116,448.65,757,ULTRACEMCO,10,14.81,11300,639,63.55,2
48,13.49,7,15,216,358.85,363,ULTRACEMCO,26,14.7,11400,107,88.0,40
525,15.03,54,295,534,310.0,1391,ULTRACEMCO,176,14.61,11500,835,119.2,22
1473,14.55,113,836,962,244.5,1737,ULTRACEMCO,524,14.81,11600,724,161.7,51
2752,14.9,75,1348,260,197.65,1340,ULTRACEMCO,1329,14.6,11700,1042,206.4,38
1847,14.96,73,763,167,154.5,812,ULTRACEMCO,1011,14.63,11800,648,262.05,-3
997,15.04,58,497,40,119.0,191,ULTRACEMCO,442,15.13,11900,128,331.2,23
5283,15.13,752,1881,48,90.15,841,ULTRACEMCO,2650,14.41,12000,777,392.1,16
449,15.23,31,176,0,67.35,22,ULTRACEMCO,242,0.0,12100,22,470.65,0
115,0.0,-11,29,414,104.6,761,SUNPHARMA,97,17.2,1740,320,5.25,27
171,0.0,-7,91,306,87.2,612,SUNPHARMA,87,16.79,1760,255,7.65,51
448,10.77,-37,261,588,70.9,1190,SUNPHARMA,224,16.88,1780,532,11.75,70
2845,10.89,-158,2409,1571,54.5,2214,SUNPHARMA,594,16.31,1800,654,16.05,-11
3645,11.78,234,2763,978,41.65,1476,SUNPHARMA,648,16.25,1820,295,22.7,203
6177,12.07,494,3885,1140,30.3,1997,SUNPHARMA,1798,16.46,1840,449,31.65,408
3532,12.75,687,1866,207,22.2,389,SUNPHARMA,979,16.75,1860,115,42.55,67
1362,13.01,41,923,68,15.35,180,SUNPHARMA,398,17.21,1880,83,55.45,29
2547,13.53,131,1789,185,10.8,399,SUNPHARMA,627,17.94,1900,178,70.3,36
1048,13.94,56,441,0,7.4,11,SUNPHARMA,551,0.0,1920,11,138.95,0
572,14.23,44,319,36,4.9,129,SUNPHARMA,209,19.92,1940,77,103.85,16
127,0.0,0,0,43,15.79,258,WIPRO,127,21.3,237,204,1.47,11
719,15.35,11,119,422,12.48,1247,WIPRO,589,21.26,240,801,1.98,24
103,16.25,-6,19,123,10.64,431,WIPRO,90,21.41,242,296,2.66,12
624,16.96,-15,182,894,8.98,1653,WIPRO,457,21.36,245,721,3.43,38
400,17.31,-9,190,340,7.44,724,WIPRO,219,21.18,247,369,4.31,15
4914,17.77,122,2832,1114,6.13,2411,WIPRO,1960,21.65,250,1213,5.53,84
1364,18.11,130,907,147,4.98,310,WIPRO,327,22.26,252,143,6.95,20
2878,18.41,-36,1651,90,4.0,265,WIPRO,1263,22.19,255,191,8.32,-16
447,18.77,3,306,4,3.2,40,WIPRO,138,21.25,257,36,9.59,0
3972,18.95,154,1734,29,2.5,287,WIPRO,2084,23.27,260,266,11.81,-8
373,19.08,0,115,0,1.92,11,WIPRO,258,0.0,262,11,12.8,0
